AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	null	null	null	26.16	null	0.00	0.00	26.95	26.95	-13.05	7.26	null	null	0.00 - 0.00%	0.00%	null	CAD	26.95	25.80	25.80 - 26.95	null	null	null	4/5/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/6/2016	26.95	null	3:25pm	3:25pm - <b>26.95</b>	null	null	2.73B	null	CARGOJET INC. VARIABLE VOTING S	null	null	25.80	null	0.00	null	null	-32.62%	0.00%	inf%	inf%	36.87%	26.95	null	null	null	null	null	null	0.00	TOR	CJT-A.to	null	null	0.00	600	40.00	19.69	19.69 - 40.00	CJT.A
null	null	27.55	null	10232	27.00	null	5.63	0.14	1.55	2.42	-2.08	9.01	null	null	0.14 - 0.52%	0.52%	null	CAD	27.02	26.35	26.35 - 27.02	null	null	null	4/5/2016	0.60	2.27	18.35M	1.63	0.36	null	-2.28	null	3/17/2016	25.47	null	null	null	null	null	null	null	4/8/2016	27.02	null	4:00pm	4:00pm - <b>27.02</b>	null	null	272.36M	null	CARGOJET INC.	null	null	26.88	null	0.00	null	null	-7.15%	0.52%	6.10%	9.86%	50.03%	26.88	4.78	16.58	13.38	null	1.04	null	60.84	TOR	CJT.to	null	null	24.60	4051	29.10	18.01	18.01 - 29.10	CJT
null	null	230.00	null	null	227.89	null	0.00	0.00	null	null	0.00	128.75	null	null	0.00 - 0.00%	0.00%	null	CAD	230.00	230.00	230.00 - 230.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/6/2016	230.00	null	3:46pm	3:46pm - <b>230.00</b>	null	null	null	null	CARGOJET INC 6.5 PCT DEBS	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	127.16%	230.00	null	null	null	null	null	null	null	TOR	CJT-DBA.to	null	null	null	20000	230.00	101.25	101.25 - 230.00	CJT.DB.A
null	null	109.00	null	null	106.00	null	0.00	0.00	null	null	0.00	6.75	null	null	0.00 - 0.00%	0.00%	null	CAD	108.75	108.75	108.75 - 108.75	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/4/2016	108.75	null	3:59pm	3:59pm - <b>108.75</b>	null	null	null	null	CARGOJET INC 5.5 PCT DEBS	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	6.62%	108.75	null	null	null	null	null	null	null	TOR	CJT-DBB.to	null	null	null	63000	108.75	102.00	102.00 - 108.75	CJT.DB.B
null	null	11.08	null	3647	10.95	null	0.00	-0.19	0.31	-0.03	-1.04	0.59	null	null	-0.19 - -1.71%	-1.71%	null	USD	10.95	10.95	10.95 - 10.95	null	null	null	3/15/2016	null	null	0.00	0.69	0.00	null	null	null	6/1/2015	10.64	null	null	null	null	null	null	null	4/8/2016	10.95	null	1:01pm	1:01pm - <b>10.95</b>	null	null	null	null	CARIBBEAN UTIL US	null	null	10.95	null	0.00	null	null	-8.67%	-1.71%	2.95%	-0.26%	5.69%	11.14	null	null	null	null	null	null	0.00	TOR	CUP-U.to	null	null	10.98	500	11.99	10.36	10.36 - 11.99	CUP.U
null	null	5.35	null	41868	5.21	null	2.61	-0.03	0.19	-0.27	-2.09	1.27	null	null	-0.03 - -0.56%	-0.56%	null	CAD	5.35	5.35	5.35 - 5.35	null	null	null	null	0.00	0.00	10.34M	0.28	0.07	null	0.58	null	null	5.16	null	null	null	null	null	null	null	4/8/2016	5.35	null	4:00pm	4:00pm - <b>5.35</b>	null	null	131.56M	null	CARMANAH TECHNOLOGIES CORP.	null	null	5.35	null	0.00	9.16	null	-28.09%	-0.56%	3.77%	-4.81%	31.13%	5.38	2.06	19.11	15.29	null	2.19	null	2.53	TOR	CMH.to	null	null	5.62	100	7.44	4.08	4.08 - 7.44	CMH
null	null	238.00	null	66	234.00	null	0.00	0.00	83.68	95.14	0.00	129.00	null	null	0.00 - 0.00%	0.00%	null	CAD	238.00	238.00	238.00 - 238.00	null	null	null	3/31/2016	1.45	0.79	608.41M	null	0.00	null	7.77	null	6/12/2015	154.32	null	null	null	null	null	null	null	3/29/2016	238.00	null	10:19am	10:19am - <b>238.00</b>	null	null	null	null	CCL INC. CL A	null	null	238.00	null	0.00	null	null	0.00%	0.00%	54.22%	66.60%	118.35%	238.00	null	null	null	null	null	null	0.00	TOR	CCL-A.to	null	null	142.86	58	238.00	109.00	109.00 - 238.00	CCL.A
null	null	8.35	null	292238	8.30	null	9.77	-0.42	-0.60	-2.00	-5.35	1.81	null	null	-0.42 - -4.82%	-4.82%	null	CAD	8.84	8.12	8.12 - 8.84	null	null	null	4/1/2016	0.16	1.83	396.00M	1.28	0.36	null	-0.39	null	3/22/2016	8.90	null	null	null	null	null	null	null	4/8/2016	8.30	null	4:00pm	4:00pm - <b>8.30</b>	null	null	784.86M	null	CASCADES INC	null	null	8.66	null	0.36	null	null	-39.19%	-4.82%	-6.69%	-19.41%	27.89%	8.72	0.89	6.48	7.55	null	0.22	null	28.67	TOR	CAS.to	null	null	10.30	258118	13.65	6.49	6.49 - 13.65	CAS
null	null	235.10	null	114603	234.30	null	0.00	-6.37	7.96	25.22	-14.28	98.77	null	null	-6.37 - -2.64%	-2.64%	null	CAD	241.70	233.96	233.96 - 241.70	null	null	null	3/31/2016	2.00	0.81	608.41M	10.12	0.00	null	7.77	null	12/9/2015	227.14	null	null	null	null	null	null	null	4/8/2016	235.10	null	4:15pm	4:15pm - <b>235.10</b>	null	null	null	null	CCL INDUSTRIES INC	null	null	241.64	null	0.00	null	null	-5.73%	-2.64%	3.50%	12.02%	72.45%	241.47	null	null	null	null	null	null	0.98	TOR	CCL-B.to	null	null	209.88	75150	249.38	136.33	136.33 - 249.38	CCL.B
null	null	0.35	null	51873	0.34	null	2.91	0.02	-0.07	-0.29	-2.20	0.10	null	null	0.02 - 6.06%	6.06%	null	CAD	0.35	0.34	0.34 - 0.35	null	null	null	10/15/2015	0.16	48.48	13.59M	-0.37	-0.12	null	-0.64	null	9/28/2015	0.42	null	null	null	null	null	null	null	4/8/2016	0.35	null	2:42pm	2:42pm - <b>0.35</b>	null	null	12.70M	null	CATHEDRAL ENERGY SERVICES LTD.	null	null	0.35	null	0.19	null	null	-86.27%	6.06%	-16.33%	-45.31%	40.00%	0.33	0.11	null	null	null	0.06	null	0.00	TOR	CET.to	null	null	0.64	41255	2.55	0.25	0.25 - 2.55	CET
null	null	14.23	null	280884	14.13	null	7.75	-0.08	0.07	-0.53	-3.49	2.83	null	null	-0.08 - -0.56%	-0.56%	null	CAD	14.38	14.08	14.08 - 14.38	null	null	null	null	null	null	219.80M	1.12	0.28	null	0.42	null	null	14.09	null	null	null	null	null	null	null	4/8/2016	14.16	null	4:00pm	4:00pm - <b>14.16</b>	null	null	1.99B	null	CELESTICA INC	null	null	14.28	null	0.00	33.71	null	-19.77%	-0.56%	0.48%	-3.60%	24.98%	14.24	1.84	12.64	11.70	null	0.36	null	48.78	TOR	CLS.to	null	null	14.69	141705	17.65	11.33	11.33 - 17.65	CLS
null	null	0.01	null	468833	0.00	null	0.06	0.00	-0.00	-0.00	-0.09	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	0.01	0.00	0.00 - 0.01	null	null	null	null	null	null	12.77M	nan	0.00	null	-0.08	null	null	0.01	null	null	null	null	null	null	null	4/8/2016	0.01	null	1:59pm	1:59pm - <b>0.01</b>	null	null	2.56M	null	CAZA OIL	null	null	0.01	null	0.00	null	null	-90.00%	0.00%	-31.37%	-26.60%	100.00%	0.01	0.17	null	null	null	0.21	null	0.02	TOR	CAZ.to	null	null	0.01	936039	0.10	0.00	0.00 - 0.10	CAZ
null	null	0.80	null	417	0.60	null	-7.74	0.00	-0.24	-1.07	-3.22	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	0.80	0.80	0.80 - 0.80	null	null	null	null	null	null	45.10M	3.31	0.00	null	-4.34	null	null	1.04	null	null	null	null	null	null	null	3/30/2016	0.80	null	10:49am	10:49am - <b>0.80</b>	null	null	11.62M	null	CATALYST PAPER CORPORATION	null	null	0.80	null	0.00	null	null	-80.10%	0.00%	-23.18%	-57.20%	0.00%	0.80	null	null	null	null	0.01	null	1.00	TOR	CYT.to	null	null	1.87	108	4.02	0.80	0.80 - 4.02	CYT
null	null	6.31	null	1063870	6.27	null	6.59	0.24	-0.35	-0.75	-2.36	0.80	null	null	0.24 - 3.95%	3.95%	null	CAD	6.31	6.04	6.04 - 6.31	null	null	null	3/24/2016	0.16	2.64	279.66M	0.16	0.01	null	0.18	null	3/8/2016	6.66	null	null	null	null	null	null	null	4/8/2016	6.31	null	4:00pm	4:00pm - <b>6.31</b>	null	null	1.36B	null	CENTERRA GOLD INC.	null	null	6.10	null	7.59	35.06	null	-27.22%	3.95%	-5.20%	-10.63%	14.52%	6.07	0.92	39.44	21.76	null	2.10	null	3.40	TOR	CG.to	null	null	7.06	491752	8.67	5.51	5.51 - 8.67	CG
null	null	17.02	null	2554810	16.99	null	14.87	0.59	0.59	-1.11	-7.28	4.26	null	null	0.59 - 3.60%	3.60%	null	CAD	17.30	16.78	16.78 - 17.30	null	null	null	3/31/2016	0.64	3.88	1.93B	-0.93	-0.21	null	0.75	null	3/11/2016	16.41	null	null	null	null	null	null	null	4/8/2016	17.00	null	4:15pm	4:15pm - <b>17.00</b>	null	null	14.17B	null	CENOVUS ENERGY INC.	null	null	16.80	null	0.44	22.67	null	-29.98%	3.60%	3.58%	-6.11%	33.44%	16.41	1.10	null	null	null	1.05	null	5.53	TOR	CVE.to	null	null	18.11	1830990	24.28	12.74	12.74 - 24.28	CVE
null	null	1.87	null	42267	1.84	null	1.19	-0.01	0.13	0.42	-0.01	0.77	null	null	-0.01 - -0.54%	-0.54%	null	CAD	1.84	1.82	1.82 - 1.84	null	null	null	10/9/2015	0.04	2.25	241.00M	0.09	0.00	null	0.08	null	9/3/2015	1.71	null	null	null	null	null	null	null	4/8/2016	1.84	null	3:37pm	3:37pm - <b>1.84</b>	null	null	2.11B	null	CENTAMIN PLC	null	null	1.83	null	-0.26	24.53	null	-0.54%	-0.54%	7.33%	29.90%	71.96%	1.85	1.55	20.44	20.44	null	4.01	null	0.03	TOR	CEE.to	null	null	1.42	18800	1.85	1.07	1.07 - 1.85	CEE
null	null	15.80	null	75027	15.71	null	12.35	-0.06	1.36	0.87	-1.09	3.28	null	null	-0.06 - -0.38%	-0.38%	null	CAD	15.80	15.67	15.67 - 15.80	null	null	null	11/13/2015	null	null	0.00	null	0.00	null	-0.37	null	10/29/2014	14.44	null	null	null	null	null	null	null	4/8/2016	15.80	null	3:59pm	3:59pm - <b>15.80</b>	null	null	4.02B	null	CENTRAL FUND OF CANADA LTD	null	null	15.74	null	0.00	null	null	-6.45%	-0.38%	9.40%	5.85%	26.20%	15.86	1.28	null	null	null	111721.12	null	0.00	TOR	CEF-A.to	null	null	14.93	55582	16.89	12.52	12.52 - 16.89	CEF.A
null	null	12.36	null	null	11.91	null	0.00	0.00	12.08	12.08	0.00	0.08	null	null	0.00 - 0.00%	0.00%	null	USD	12.08	12.00	12.00 - 12.08	null	null	null	11/13/2015	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/7/2016	12.08	null	11:27am	11:27am - <b>12.08</b>	null	null	3073.55B	null	CENTRAL FUND OF CANADA LTD	null	null	12.00	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.67%	12.08	null	null	null	null	null	null	0.00	TOR	CEF-U.to	null	null	0.00	600	12.08	12.00	12.00 - 12.08	CEF.U
null	null	62.16	null	611992	62.07	null	20.77	-0.29	11.02	10.31	-0.62	25.80	null	null	-0.29 - -0.46%	-0.46%	null	CAD	62.77	61.89	61.89 - 62.77	null	null	null	null	null	null	1.79B	3.53	0.00	null	3.05	null	null	51.13	null	null	null	null	null	null	null	4/8/2016	62.15	null	4:15pm	4:15pm - <b>62.15</b>	null	null	19.27B	null	CGI GROUP INC	null	null	62.62	null	0.00	20.38	null	-0.99%	-0.46%	21.56%	19.89%	70.98%	62.44	3.01	null	null	null	1.86	null	17.45	TOR	GIB-A.to	null	null	51.84	517992	62.77	36.35	36.35 - 62.77	GIB.A
null	null	0.29	null	4451	0.22	null	1.21	0.00	-0.03	-0.01	-0.18	0.09	null	null	0.00 - 0.00%	0.00%	null	CAD	0.22	0.22	0.22 - 0.22	null	null	null	null	null	null	-7.21M	null	0.00	null	-0.13	null	null	0.26	null	null	null	null	null	null	null	3/28/2016	0.22	null	10:46am	10:46am - <b>0.22</b>	null	null	22.23M	null	CENTURY GLOBAL COMMODITIES CORP	null	null	null	null	0.00	null	null	-43.75%	0.00%	-13.46%	-3.87%	73.08%	0.22	0.19	null	null	null	null	null	0.00	TOR	CNT.to	null	null	0.23	420	0.40	0.13	0.13 - 0.40	CNT
null	null	82.49	null	null	78.02	null	0.00	0.00	null	null	-17.50	21.00	null	null	0.00 - 0.00%	0.00%	null	CAD	82.00	78.79	78.79 - 82.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/7/2016	82.00	null	2:24pm	2:24pm - <b>82.00</b>	null	null	null	null	CENTRIC HEALTH CORP 6.75 PCT DE	null	null	null	null	0.00	null	null	-17.59%	0.00%	null	null	34.43%	82.00	null	null	null	null	null	null	null	TOR	CHH-NT.to	null	null	null	27000	99.50	61.00	61.00 - 99.50	CHH.NT
null	null	0.285	null	425640	0.275	null	1.969	0.000	-0.071	-0.075	-0.785	0.045	null	null	0.000 - 0.000%	0.000%	null	CAD	0.295	0.275	0.275 - 0.295	null	null	null	null	null	null	45.81M	-0.090	-0.030	null	-0.513	null	null	0.356	null	null	null	null	null	null	null	4/8/2016	0.285	null	3:58pm	3:58pm - <b>0.285</b>	null	null	60.14M	null	CEQUENCE ENERGY LTD.	null	null	0.290	null	-0.090	null	null	-73.364%	0.000%	-20.008%	-20.754%	18.750%	0.285	0.145	null	null	null	0.761	null	0.090	TOR	CQE.to	null	null	0.360	396047	1.070	0.240	0.240 - 1.070	CQE
null	null	0.260	null	113662	0.255	null	-0.351	0.005	-0.006	-0.011	-0.145	0.045	null	null	0.005 - 2.000%	2.000%	null	CAD	0.260	0.250	0.250 - 0.260	null	null	null	null	null	null	26.16M	-0.060	0.000	null	-0.206	null	null	0.261	null	null	null	null	null	null	null	4/8/2016	0.255	null	3:51pm	3:51pm - <b>0.255</b>	null	null	40.97M	null	CENTRIC HEALTH CORPORATION	null	null	0.260	null	0.000	null	null	-36.250%	2.000%	-2.352%	-4.167%	21.429%	0.250	null	null	null	null	0.118	null	0.000	TOR	CHH.to	null	null	0.266	67950	0.400	0.210	0.210 - 0.400	CHH
null	null	5.00	null	9681	4.82	null	7.95	-0.01	-0.06	-0.77	-1.90	0.35	null	null	-0.01 - -0.20%	-0.20%	null	CAD	5.00	4.99	4.99 - 5.00	null	null	null	null	null	null	-13.81M	null	0.00	null	-0.68	null	null	5.06	null	null	null	null	null	null	null	4/8/2016	5.00	null	3:59pm	3:59pm - <b>5.00</b>	null	null	135.28M	null	CERES GLOBAL AG CORP.	null	null	5.00	null	0.00	null	null	-27.54%	-0.20%	-1.27%	-13.41%	7.53%	5.01	0.63	null	null	null	0.47	null	0.31	TOR	CRP.to	null	null	5.77	55000	6.90	4.65	4.65 - 6.90	CRP
null	null	null	null	null	99.50	null	0.00	0.00	null	null	-7.61	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	99.26	99.25	99.25 - 99.26	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/1/2016	99.25	null	1:52pm	1:52pm - <b>99.25</b>	null	null	null	null	CERVUS EQUIPMENT CORP 6 PCT DEB	null	null	null	null	0.00	null	null	-7.12%	0.00%	null	null	0.00%	99.25	null	null	null	null	null	null	null	TOR	CVL-DB.to	null	null	null	72000	106.86	99.25	99.25 - 106.86	CVL.DB
null	null	11.02	null	37444	11.00	null	12.12	0.05	-0.59	-2.03	-8.00	0.59	null	null	0.05 - 0.46%	0.46%	null	CAD	11.04	11.00	11.00 - 11.04	null	null	null	4/15/2016	0.28	2.55	50.74M	0.91	0.23	null	-1.65	null	3/29/2016	11.59	null	null	null	null	null	null	null	4/8/2016	11.00	null	3:59pm	3:59pm - <b>11.00</b>	null	null	171.36M	null	CERVUS EQUIPMENT CORPORATION	null	null	11.00	null	1.72	null	null	-42.11%	0.46%	-5.06%	-15.57%	5.67%	10.95	0.90	12.09	9.32	null	0.15	null	46.83	TOR	CVL.to	null	null	13.03	2950	19.00	10.41	10.41 - 19.00	CVL
null	null	10.10	null	null	10.00	null	0.00	0.11	10.05	10.05	-3.04	0.38	null	null	0.11 - 1.11%	1.11%	null	CAD	10.06	10.00	10.00 - 10.06	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	10.05	null	3:52pm	3:52pm - <b>10.05</b>	null	null	null	null	CANSO CREDIT INCOME FUND UNITS	null	null	10.00	null	0.00	null	null	-23.22%	1.11%	inf%	inf%	3.93%	9.94	null	null	null	null	null	null	0.00	TOR	PBY-UN.to	null	null	0.00	6056	13.09	9.67	9.67 - 13.09	PBY.UN
null	null	0.13	null	2965	0.12	null	0.15	0.00	-0.00	0.01	-0.03	0.03	null	null	0.00 - 0.00%	0.00%	null	CAD	0.12	0.12	0.12 - 0.12	null	null	null	12/14/2012	null	null	-2.03M	null	0.00	null	0.00	null	null	0.13	null	null	null	null	null	null	null	3/28/2016	0.12	null	10:46am	10:46am - <b>0.12</b>	null	null	36.20M	null	CHALICE GOLD MINES LIMITED	null	null	0.12	null	0.00	31.25	null	-16.67%	0.00%	-1.02%	11.72%	38.89%	0.12	0.83	null	null	null	303.73	null	0.07	TOR	CXN.to	null	null	0.11	65139	0.15	0.09	0.09 - 0.15	CXN
null	null	0.21	null	90660	0.20	null	0.45	0.00	0.03	0.04	-0.02	0.14	null	null	0.00 - 2.44%	2.44%	null	CAD	0.21	0.20	0.20 - 0.21	null	null	null	null	null	null	-2.96M	null	0.00	null	-0.04	null	null	0.18	null	null	null	null	null	null	null	4/8/2016	0.21	null	3:58pm	3:58pm - <b>0.21</b>	null	null	41.65M	null	CHAMPION IRON LIMITED	null	null	0.20	null	0.00	null	null	-8.70%	2.44%	15.66%	23.69%	200.00%	0.20	0.46	null	null	null	61.25	null	0.09	TOR	CIA.to	null	null	0.17	69419	0.23	0.07	0.07 - 0.23	CIA
null	null	128.00	null	null	115.00	null	0.00	-2.00	null	null	0.00	25.96	null	null	-2.00 - -1.54%	-1.54%	null	CAD	128.00	126.39	126.39 - 128.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	128.00	null	3:59pm	3:59pm - <b>128.00</b>	null	null	null	null	CHARTWELL RETIREMENT RES 5.70 P	null	null	null	null	0.00	null	null	0.00%	-1.54%	null	null	25.44%	130.00	null	null	null	null	null	null	null	TOR	CSH-DBB.to	null	null	null	933000	128.00	102.04	102.04 - 128.00	CSH.DB.B
null	null	13.99	null	497306	13.98	null	4.16	-0.28	2.65	1.98	-0.24	3.38	null	null	-0.28 - -1.96%	-1.96%	null	CAD	14.22	13.91	13.91 - 14.22	null	null	null	4/15/2016	0.56	4.00	223.65M	0.72	0.00	null	1.96	null	6/26/2015	11.33	null	null	null	null	null	null	null	4/8/2016	13.98	null	4:00pm	4:00pm - <b>13.98</b>	null	null	2.47B	null	CHARTWELL RETIREMENT RESIDENCES	null	null	14.22	null	0.00	7.14	null	-1.69%	-1.96%	23.38%	16.52%	31.89%	14.26	3.43	null	null	null	2.84	null	11.69	TOR	CSH-UN.to	null	null	12.00	421701	14.22	10.60	10.60 - 14.22	CSH.UN
null	null	117.50	null	null	116.53	null	0.00	2.68	null	null	0.00	10.68	null	null	2.68 - 2.35%	2.35%	null	CAD	116.68	113.57	113.57 - 116.68	null	null	null	null	null	null	null	null	0.00	null	1.14	null	null	null	null	null	null	null	null	null	null	4/8/2016	116.68	null	2:13pm	2:13pm - <b>116.68</b>	null	null	null	null	CHEMTRADE LOGISTICS INCOME FUND	null	null	null	null	0.00	null	null	0.00%	2.35%	null	null	10.08%	114.00	null	null	null	null	null	null	null	TOR	CHE-DB.to	null	null	null	70000	116.68	106.00	106.00 - 116.68	CHE.DB
null	null	104.00	null	null	102.28	null	0.00	0.62	null	null	-2.51	1.94	null	null	0.62 - 0.60%	0.60%	null	CAD	104.23	103.39	103.39 - 104.23	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	103.99	null	3:55pm	3:55pm - <b>103.99</b>	null	null	null	null	CHEMTRADE LOGISTICS IF 5.75 PCT	null	null	null	null	0.00	null	null	-2.36%	0.60%	null	null	1.90%	103.37	null	null	null	null	null	null	null	TOR	CHE-DBA.to	null	null	null	764000	106.50	102.05	102.05 - 106.50	CHE.DB.A
null	null	100.74	null	null	100.16	null	0.00	0.59	null	null	-1.26	0.59	null	null	0.59 - 0.59%	0.59%	null	CAD	100.74	100.15	100.15 - 100.74	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	100.74	null	3:59pm	3:59pm - <b>100.74</b>	null	null	null	null	CHEMTRADE LOGISTICS IF 5.25 PCT	null	null	null	null	0.00	null	null	-1.24%	0.59%	null	null	0.59%	100.15	null	null	null	null	null	null	null	TOR	CHE-DBB.to	null	null	null	274000	102.00	100.15	100.15 - 102.00	CHE.DB.B
null	null	18.72	null	100519	18.65	null	12.75	0.32	-1.52	-2.19	-3.80	0.37	null	null	0.32 - 1.74%	1.74%	null	CAD	18.73	18.30	18.30 - 18.73	null	null	null	4/29/2016	1.20	6.79	233.32M	0.64	0.00	null	-0.69	null	6/26/2015	20.19	null	null	null	null	null	null	null	4/8/2016	18.67	null	4:00pm	4:00pm - <b>18.67</b>	null	null	1.29B	null	CHEMTRADE LOGISTICS INCOME FUND	null	null	18.47	null	0.00	null	null	-16.91%	1.74%	-7.53%	-10.51%	2.02%	18.35	1.44	null	null	null	0.93	null	8.61	TOR	CHE-UN.to	null	null	20.86	136057	22.47	18.30	18.30 - 22.47	CHE.UN
null	null	28.36	null	612662	28.20	null	6.86	0.05	-0.66	-1.79	-7.95	2.54	null	null	0.05 - 0.18%	0.18%	null	CAD	28.36	28.05	28.05 - 28.36	null	null	null	4/15/2016	1.32	4.67	788.67M	2.02	0.50	null	1.98	null	3/29/2016	28.96	null	null	null	null	null	null	null	4/8/2016	28.30	null	4:15pm	4:15pm - <b>28.30</b>	null	null	7.80B	null	CI FINANCIAL CORP.	null	null	28.25	null	2.00	14.29	null	-21.93%	0.18%	-2.29%	-5.96%	9.86%	28.25	4.12	14.01	12.81	null	3.91	null	1.97	TOR	CIX.to	null	null	30.09	365498	36.25	25.76	25.76 - 36.25	CIX
null	null	0.285	null	20111	0.275	null	0.305	-0.005	0.008	0.002	-0.065	0.085	null	null	-0.005 - -1.724%	-1.724%	null	CAD	0.290	0.285	0.285 - 0.290	null	null	null	null	null	null	2.07M	null	0.000	null	0.034	null	null	0.277	null	null	null	null	null	null	null	4/8/2016	0.285	null	2:29pm	2:29pm - <b>0.285</b>	null	null	19.60M	null	CIBT EDUCATION GROUP INC.	null	null	0.290	null	0.000	8.382	null	-18.571%	-1.724%	2.729%	0.665%	42.500%	0.290	0.951	null	null	null	0.579	null	0.000	TOR	MBA.to	null	null	0.283	11400	0.350	0.200	0.200 - 0.350	MBA
null	null	2.26	null	341087	2.22	null	3.66	-0.03	-0.02	0.19	-0.36	0.70	null	null	-0.03 - -1.33%	-1.33%	null	CAD	2.26	2.20	2.20 - 2.26	null	null	null	null	null	null	136.76M	0.11	0.00	null	0.06	null	null	2.24	null	null	null	null	null	null	null	4/8/2016	2.22	null	4:00pm	4:00pm - <b>2.22</b>	null	null	880.04M	null	CHINA GOLD INT RESOURCES CORP.	null	null	2.23	null	0.00	34.69	null	-13.95%	-1.33%	-0.85%	9.31%	46.05%	2.25	0.61	20.18	12.33	null	2.45	null	0.25	TOR	CGG.to	null	null	2.03	206714	2.58	1.52	1.52 - 2.58	CGG
null	null	0.54	null	107271	0.52	null	0.96	0.03	0.02	0.02	-0.94	0.14	null	null	0.03 - 5.88%	5.88%	null	CAD	0.54	0.52	0.52 - 0.54	null	null	null	null	null	null	10.03M	-0.12	-0.03	null	-0.65	null	null	0.52	null	null	null	null	null	null	null	4/8/2016	0.54	null	3:58pm	3:58pm - <b>0.54</b>	null	null	116.28M	null	CHINOOK ENERGY INC.	null	null	0.53	null	-0.85	null	null	-63.51%	5.88%	4.71%	3.77%	35.00%	0.51	0.53	null	null	null	1.61	null	0.12	TOR	CKE.to	null	null	0.52	8000	1.48	0.40	0.40 - 1.48	CKE
null	null	10.35	null	8348	10.30	null	8.22	0.00	0.06	0.20	-2.64	1.51	null	null	0.00 - 0.00%	0.00%	null	CAD	10.35	10.20	10.20 - 10.35	null	null	null	4/15/2016	0.78	7.59	28.22M	1.26	0.31	null	0.88	null	3/29/2016	10.25	null	null	null	null	null	null	null	4/8/2016	10.31	null	4:00pm	4:00pm - <b>10.31</b>	null	null	167.67M	null	CHESSWOOD GROUP LIMITED	null	null	10.20	null	0.00	11.76	null	-20.39%	0.00%	0.61%	2.02%	17.16%	10.31	1.25	8.18	7.21	null	2.69	null	6.16	TOR	CHW.to	null	null	10.11	2500	12.95	8.80	8.80 - 12.95	CHW
null	null	99.50	null	null	98.55	null	0.00	-0.95	null	null	-0.01	0.00	null	null	-0.95 - -0.95%	-0.95%	null	CAD	98.56	98.55	98.55 - 98.56	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	98.55	null	2:24pm	2:24pm - <b>98.55</b>	null	null	null	null	CHESSWOOD GROUP LIMITED 6.50 PC	null	null	null	null	0.00	null	null	-0.01%	-0.95%	null	null	0.00%	99.50	null	null	null	null	null	null	null	TOR	CHW-DB.to	null	null	null	3500	98.56	98.55	98.55 - 98.56	CHW.DB
